m.03cfqmy	people.ethnicity.languages_spoken	m.02h40lc
m.07dfk	location.location.people_born_here	m.0kfzb
m.05yzf7z	education.education.degree	m.04zx3q1
m.0bnnsp8	people.person.place_of_birth	m.031y2
m.04b33r0	location.location.containedby	m.04tgp
m.05l86c	people.deceased_person.place_of_burial	m.0156q
m.0bnnn68	people.person.profession	m.0dxtg
m.0czcqqr	people.person.nationality	m.09c7w0
m.021bsj	location.location.containedby	m.0345h
m.0k08tp	people.person.profession	m.02jknp
m.03p2bg5	business.business_operation.industry	m.03qtd_n
m.0gmhf_	american_football.football_player.position_s	m.02g_7z
m.082db	music.composer.compositions	m.0gblpgk
m.02_286	location.location.people_born_here	m.04cbmlp
m.05751y	military.military_person.participated_in_conflicts	m.0kbq
m.0z7zgw3	people.person.nationality	m.06qd3
m.08mtvm	people.person.profession	m.02hrh1q
m.0177z	location.location.people_born_here	m.011cnl0s
m.04jpl	location.location.people_born_here	m.07nsn8
m.07nwqsd	olympics.olympic_medal_honor.olympics	m.0kbws
m.0qzx8v3	people.person.profession	m.0dxtg
m.0bwqg2	people.person.places_lived	m.03pvqc7
m.07s99lg	people.person.profession	m.0dxtg
m.0bmdc9p	location.location.containedby	m.02ly_
m.03cs5r_	music.artist.genre	m.03lty
m.081yw	location.location.contains	m.064qlkl
m.05y5hy4	common.topic.notable_types	m.01xryvt
m.0jt1g0l	film.film.country	m.09c7w0
m.098lxb	people.person.profession	m.02xhgwq
m.09s8b12	location.mailing_address.citytown	m.03l2n
m.02q_ppg	education.educational_institution.colors	m.019sc
m.0y6d18n	people.person.nationality	m.09c7w0
m.0bt_fc5	people.person.place_of_birth	m.04kf4
m.061tx7	people.person.profession	m.02hrh1q
m.0w47hx0	people.person.profession	m.02hrh1q
m.0577d	location.location.people_born_here	m.0gl57g
m.04zw0gc	people.person.nationality	m.0chghy
m.0412myl	people.person.nationality	m.03rjj
m.07xfq46	location.mailing_address.country	m.09c7w0
m.05vnqwg	people.person.profession	m.0cbd2
m.0gcn3m	people.person.profession	m.0cbd2
g.11bv1m6_h8	music.track_contribution.role	m.05148p4
m.08s65j	people.person.profession	m.02h665k
m.0d019f	people.deceased_person.cause_of_death	m.0d19y2
m.0xn0_w3	film.film.genre	m.02822
m.05qhw	location.location.contains	m.07yj02
m.01_d4	location.location.people_born_here	m.0b76h8n
m.0t3pr	location.location.time_zones	m.02fqwt
m.03rk0	location.location.contains	m.05ztz08
m.0n1l2t3	education.education.major_field_of_study	m.06ms6
m.05myvg5	people.person.profession	m.02hrh1q
m.0cq22zg	media_common.netflix_genre.titles	m.07gp3w
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0gqsry
m.027yx0c	location.location.containedby	m.03rk0
m.04wvnp	people.person.profession	m.039v1
m.0j8pg4d	base.schemastaging.athlete_salary.team	m.0jnlm
m.0gh6n20	people.person.place_of_birth	m.06t8v
m.0gqd84	location.location.containedby	m.059g4
m.069m1j	location.location.containedby	m.0chghy
m.0b6tpwv	location.mailing_address.country	m.03rt9
m.09s5_97	film.film.country	m.09c7w0
m.04935bv	location.location.containedby	m.09c7w0
m.0dhzd_2	location.mailing_address.citytown	m.0f2w0
m.02k8gd	time.time_zone.locations_in_this_time_zone	m.05p6vfw
m.02vcqfd	film.performance.film	m.0kvf6s
m.0hzp965	people.person.profession	m.0cbd2
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0_spd
m.01269dlm	people.person.place_of_birth	m.02xry
m.02r9q3f	people.person.nationality	m.03rjj
m.0yg48kf	people.person.place_of_birth	m.05fjf
m.0824r	location.location.partially_contains	m.02qcxx
m.0f33nb	location.location.containedby	m.0h7x
m.05zt7rz	people.person.nationality	m.0h7x
m.09v2w5n	people.deceased_person.place_of_death	m.030qb3t
m.0cgr1q	music.artist.album	m.0yb2s48
m.04943l3	location.location.containedby	m.0498y
m.03pfnyb	people.place_lived.location	m.01snm
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0t072
m.09c7w0	location.location.contains	m.048y6dj
m.03gv6l5	people.person.profession	m.0c5lg
m.010dyskd	people.deceased_person.place_of_death	m.02cl1
m.0d05w3	location.location.partially_contains	m.0cj7n8
m.03qnmd	people.person.profession	m.080ntlp
m.09rp1w_	visual_art.visual_artist.art_forms	m.06msq
m.04gtxks	people.person.profession	m.02hrh1q
m.0bb4pk	people.person.nationality	m.0d060g
m.03_f0	music.composer.compositions	m.0zlrg6d
m.0g8lsf	location.location.people_born_here	m.0gfpg9k
m.0z9x2wb	award.award_nomination.award_nominee	m.04fzk
m.0c4q0tt	people.person.nationality	m.09c7w0
m.05g3b	sports.sports_team.roster	m.0ltkmy6
m.01_d4	location.location.people_born_here	m.02rh0qm
m.02r88lg	film.film.genre	m.082gq
m.0h89_cb	people.person.profession	m.02hrh1q
m.06rpgnk	baseball.batting_statistics.season	m.025ygws
m.026wrrm	location.location.containedby	m.02jx1
m.03gt6h4	people.person.profession	m.02hrh1q
m.063h4t	people.person.nationality	m.09c7w0
m.0k0s_9	film.performance.actor	m.03knl
m.0crrmkz	film.film.genre	m.02822
m.0cjcyby	people.person.place_of_birth	m.0d6lp
g.11byms2x52	music.track_contribution.role	m.05r5c
m.02_vkb	location.location.containedby	m.02zrs
m.03nn186	people.person.place_of_birth	m.0d060g
m.0kycxnm	people.person.parents	m.06bss
m.06qr3sm	baseball.batting_statistics.season	m.02h7rz_
m.0gx9027	people.person.profession	m.0dxtg
m.02th6	people.person.profession	m.05z96
m.01yjbw	people.person.place_of_birth	m.02_286
m.02qz877	people.person.profession	m.0fj9f
m.034ynz	common.topic.notable_types	m.01y2hnl
m.0fc_9	location.location.contains	m.0xymx
m.01sdb2	people.person.profession	m.080ntlp
m.01nwgdq	people.person.profession	m.01c72t
m.09c7w0	location.location.people_born_here	m.09k0r9
m.0d4742	people.person.profession	m.0d8qb
m.0gxdymr	film.performance.film	m.0crrb94
m.09s0nr5	location.mailing_address.state_province_region	m.02xry
m.03d7x7f	people.deceased_person.place_of_death	m.0978r
m.097g69	symbols.namesake.named_after	m.0gzh
m.0668n8x	sports.sports_league_draft_pick.school	m.0bx8pn
m.07njlpq	olympics.olympic_medal_honor.olympics	m.0nbjq
m.09ky2ps	baseball.lifetime_batting_statistics.ending_season	m.02h7rz_
m.05l5n	location.location.people_born_here	m.0ds4p0
m.0xk_mt7	music.track_contribution.role	m.0290ngj
m.0rh8d1x	people.person.nationality	m.019rg5
m.0j27n8d	film.film.country	m.03_3d
m.0nc_y6c	people.person.place_of_birth	m.0f8l9c
m.0crq7x	military.military_person.participated_in_conflicts	m.081pw
m.0rh6k	location.location.people_born_here	m.06ny3s
m.0g9brhn	people.person.profession	m.02hrh1q
m.0d1kf1	people.person.nationality	m.09c7w0
m.01hmnh	media_common.netflix_genre.titles	m.07p194
m.0zt0j9z	people.person.profession	m.02hrh1q
m.0vgb8	location.location.containedby	m.02gt5s
m.0jz6j2	film.performance.film	m.031hcx
m.04lk18m	people.person.profession	m.09jwl
m.0k8qdww	people.person.profession	m.01445t
m.02ts0r	people.person.profession	m.02hrh1q
m.0g8lwtv	film.film.country	m.09c7w0
m.0gtk06v	people.person.nationality	m.06qd3
m.01nkxvx	people.person.profession	m.02hrh1q
m.09c7w0	location.location.contains	m.03hlmvh
m.034cm	book.book_subject.works	m.04wgch_
m.026qs4s	common.topic.notable_types	m.01xryvt
m.0bc77j	people.person.nationality	m.09c7w0
m.050l8	location.location.contains	m.04b48d9
m.01pw6mm	people.person.profession	m.09jwl
m.0gxvq40	film.film.country	m.059j2
m.082db	music.artist.track	m.013_n_8
g.11b86pbcft	film.film.country	m.09c7w0
m.0b4cy7	people.person.profession	m.015cjr
m.0chghy	location.location.contains	m.08gtsq
m.0jz_hh	people.deceased_person.place_of_death	m.0f8l9c
m.04b6hqj	location.location.containedby	m.09c7w0
m.0q5g50m	music.track_contribution.role	m.0l14md
m.06y57	location.location.people_born_here	m.09g966h
m.0c2xtv	people.person.nationality	m.09c7w0
m.04yd93_	people.person.profession	m.0cbd2
m.0pxcbkn	film.film.country	m.015fr
m.057_f3	location.location.containedby	m.03rt9
m.02z8fwm	location.location.containedby	m.06mkj
m.0wkryhw	location.mailing_address.state_province_region	m.04tgp
m.04ryt0	time.event.locations	m.03gj2
m.0k3qxkl	film.film.country	m.09c7w0
m.0463r6n	geography.river.mouth	m.05rgl
m.04c5zfr	location.location.containedby	m.0824r
m.082db	music.artist.track	m.0f6vpw0
m.046yn1	people.person.profession	m.02h666v
m.0cj39y8	people.person.profession	m.02hrh1q
m.09ffy8	music.artist.origin	m.0hsqf
m.0jwjlc2	location.mailing_address.state_province_region	m.01n7q
m.0345h	location.location.contains	m.02qvsdx
m.03wdnzj	location.location.time_zones	m.0gsrsm
m.0pl4fs3	people.person.profession	m.0dgd_
m.0pw38rz	base.schemastaging.phone_sandbox.service_location	m.09c7w0
m.02x5w82	people.person.profession	m.02hrh1q
m.0ky791p	music.group_membership.role	m.02hnl
m.041766g	people.person.nationality	m.015fr
m.0pxtv8t	film.film.country	m.03rt9
m.05_5_vp	soccer.football_player.position_s	m.02nzb8
m.09c7w0	location.location.contains	m.0t_tk
m.0_tqy	location.location.containedby	m.09c7w0
m.0h7nv4h	people.person.profession	m.09jwl
m.0416b02	time.event.locations	m.04g5k
m.03kxb5m	location.mailing_address.citytown	m.0chgzm
m.0wj16l8	people.person.profession	m.09l65
m.02yvct	award.award_nominated_work.award_nominations	m.09d_hrq
m.0q9zc	people.person.place_of_birth	m.0cr3d
m.01pwmdh	people.person.profession	m.09l65
m.09c7w0	location.location.contains	m.04b1mjm
m.02qsr9q	people.person.profession	m.04gc2
m.0gw5ndc	media_common.netflix_genre.titles	m.02q02ql
m.05p8jg6	people.person.place_of_birth	m.03_3d
m.0j2b19x	people.person.place_of_birth	m.02_286
m.0qh05bw	music.track_contribution.role	m.07gql
m.03qd2nr	people.person.profession	m.02jknp
m.04d306w	business.business_operation.industry	m.03qtd_n
m.02q1k_7	location.location.containedby	m.015jr
m.0dhfqwx	location.mailing_address.country	m.09c7w0
m.03rk0	location.location.contains	m.02q7pt6
m.019vb0	common.topic.notable_types	m.01xryvt
m.0zmspt7	film.performance.film	m.08952r
m.01cx_	location.location.people_born_here	m.0d_tpc
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0xhsh
m.0114tjtt	location.mailing_address.state_province_region	m.0chgr2
m.0bg78hm	film.film.country	m.03_3d
m.010qvgyt	base.schemastaging.athlete_salary.team	m.01ync
m.0h7bhl4	people.person.nationality	m.07f1x
m.0dclg	location.location.contains	m.09gns68
m.0lngf	people.person.profession	m.0cbd2
m.0r5bfjk	people.person.profession	m.0dxtg
m.04mypnc	military.military_person.participated_in_conflicts	m.081pw
m.02q_qk9	people.person.nationality	m.03rjj
m.0kfc10x	location.mailing_address.citytown	m.03l2n
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.04c81sv
m.0x1y7	location.hud_county_place.place	m.0x1y7
m.033td6	people.person.places_lived	m.03pjb47
m.024xb6	people.person.nationality	m.09c7w0
m.01011k5x	education.education.degree	m.04zx3q1
m.0hqgp	music.artist.track	m.0fv56nd
m.0641dk3	soccer.football_player.position_s	m.02nzb8
m.0j330p9	base.schemastaging.athlete_salary.team	m.05tfm
m.04ptw61	people.person.nationality	m.07ssc
m.0113gfwb	people.person.nationality	m.0d0vqn
m.0q81szx	music.track_contribution.role	m.0290ngj
m.09n9cb	film.film.country	m.09c7w0
m.0cnncwt	location.mailing_address.state_province_region	m.06btq
m.0pyrbk5	people.person.profession	m.02hrh1q
m.0fr2m31	music.artist.genre	m.05bt6j
m.04mzj4h	people.person.place_of_birth	m.081m_
m.09c7w0	location.location.contains	m.048t1bj
m.03cb816	people.deceased_person.place_of_death	m.02_286
m.0hq1_y0	people.person.profession	m.02hrh1q
m.04zyl3f	film.film.country	m.0f8l9c
m.04b1949	location.location.containedby	m.09c7w0
m.0clv_1p	location.location.containedby	m.09c7w0
m.03g2nz	military.military_person.participated_in_conflicts	m.04vq8y
m.0fygs4x	people.person.place_of_birth	m.04sqj
m.01nymq1	people.person.profession	m.0nbcg
m.081k8	film.film_story_contributor.film_story_credits	m.03ql84c
m.0v26ct_	people.person.place_of_birth	m.0ccvx
m.02_286	location.location.people_born_here	m.03n8dv
m.05wqpbs	people.person.profession	m.0cbd2
m.06q9q94	baseball.batting_statistics.season	m.02h7rz_
m.06w9hcv	people.person.profession	m.01d_h8
m.03gs2hq	people.person.place_of_birth	m.03s0w
m.06dc3f	music.group_member.instruments_played	m.05r5c
m.0t5pvbp	people.person.profession	m.01tkqy
m.0bvtt8w	people.person.profession	m.01d_h8
m.0hr43hp	people.person.nationality	m.015fr
m.06kk3n	people.person.profession	m.0cbd2
m.0b3wk	government.governmental_body.members	m.0105b8js
m.07bt_wg	olympics.olympic_medal_honor.olympics	m.0jdk_
m.06p6ggm	baseball.batting_statistics.season	m.025ygws
m.06bnz	location.location.people_born_here	g.11b7hmg2bd
m.0g2c3f	people.person.place_of_birth	m.0cr3d
m.0fcfmd	people.person.profession	m.02xhgwq
m.0gh7_wr	film.film.genre	m.02822
m.05cbyd	people.person.religion	m.0flw86
m.01nfx3x	music.artist.origin	m.0b90_r
m.08v3bw	film.film.country	m.09c7w0
m.0cmlms	location.location.time_zones	m.02k8gd
m.0wsysy3	common.topic.notable_types	m.0kpv11
m.04b01sg	location.location.containedby	m.09c7w0
m.04jpl	location.location.people_born_here	m.0jwdr0
m.05qft6l	people.person.profession	m.0dxtg
m.0280sdf	people.person.profession	m.09l65
m.03v0t	location.location.contains	m.0sfd4
m.055yv7	common.topic.notable_types	m.02kl65p
m.0r4z250	people.person.nationality	m.06qd3
m.07zn2bp	award.award_nomination.award_nominee	m.0f4vbz
m.04qb2lb	people.deceased_person.place_of_death	m.0978r
m.0t57yrs	people.person.profession	m.02hrh1q
m.0gc4fbm	people.person.profession	m.0dgd_
m.048q7ny	location.location.containedby	m.09c7w0
m.05b7q	location.location.contains	m.026p8tm
m.03bdv	time.time_zone.locations_in_this_time_zone	m.04cvck1
m.0f0rnx	location.location.containedby	m.0sf9_
m.02h8pkk	media_common.netflix_genre.titles	m.047nfz
m.09c7w0	location.location.contains	m.04bwkph
m.0d7_n	location.location.contains	m.0809wx5
m.04lgdxx	people.person.nationality	m.05vz3zq
m.081yw	location.location.contains	m.010vw1
m.03rk0	location.location.contains	m.0f5wqt
m.06sfkzs	baseball.batting_statistics.team	m.02d02
m.0gyy2fz	people.person.profession	m.02hrh1q
m.0bdr1x3	film.film.country	m.09c7w0
m.09c7w0	location.location.contains	m.049znyq
m.09gj4_m	people.person.place_of_birth	m.0hg5
m.013d36gk	music.track_contribution.role	m.04rzd
m.0668zj8	film.film.country	m.09c7w0
m.0vcfxcq	music.track_contribution.role	m.0l14md
m.06q3j_5	baseball.batting_statistics.team	m.07l4z
m.026xp_	music.artist.origin	m.0f2rq
m.0bhchf	fictional_universe.fictional_character.parents	m.0bh2b5
m.08nh3b1	location.mailing_address.citytown	m.0qpn9
m.06_6rmg	location.location.containedby	m.01n4w
m.03d4gk7	people.person.profession	m.0fj9f
m.04r1w2	people.deceased_person.place_of_death	m.0dclg
m.048sjhr	location.location.containedby	m.02xry
m.03v1s	location.location.contains	m.027n0_z
m.02z0rpm	people.person.profession	m.059846g
m.0138dmgn	music.track_contribution.role	m.0342h
m.0gcr8j_	people.person.place_of_birth	m.06n8j
m.0405q2v	location.location.containedby	m.02k1b
m.02qnyt_	people.person.profession	m.0fj9f
m.0vyxlr0	music.track_contribution.role	m.02fsn
m.03d4chl	people.person.place_of_birth	m.02jx1
m.0_cz0m8	location.mailing_address.country	m.09c7w0
m.0crb_k4	people.person.nationality	m.0chghy
m.06wbgzl	location.location.containedby	m.06n3y
m.0sj59n0	music.track_contribution.role	m.026t6
m.09c7w0	location.location.contains	m.048szhw
m.025_m_0	people.person.nationality	m.09c7w0
m.0jy5_l	people.person.profession	m.04l1gwb
m.0cnw_vx	film.film.country	m.09c7w0
m.09gf4sg	people.person.nationality	m.0d060g
m.03cdx05	people.person.religion	m.0c8wxp
m.0pxbjxs	film.film.genre	m.02822
m.047syyb	film.film.genre	m.02822
m.07srw	location.location.contains	m.06_d0p0
m.09c7w0	location.location.contains	m.04967gq
m.0h5h0f3	people.person.profession	m.02hrh1q
m.0bnr03	people.person.nationality	m.05v8c
m.0gggfp1	people.place_lived.location	m.0ccvx
m.02pnjkv	location.location.time_zones	m.02k8gd
m.0hqgp	music.artist.track	m.0nnbg8d
m.0nk55j5	music.track_contribution.role	m.0290ngj
m.0k65t1	film.performance.actor	m.0gx_p
m.0gk3vt	location.location.containedby	m.03rjj
m.02wpcs	location.location.containedby	m.0chgr2
m.0c_m3	location.location.people_born_here	m.0zrbnsp
m.0b2f45	common.topic.notable_types	m.01xryvt
m.048tx05	location.location.containedby	m.0d0x8
m.01364f2r	music.track_contribution.role	m.0290ngj
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.013gq3
m.04q9j8c	people.person.place_of_birth	m.01sn3
m.0k3d9h2	people.person.profession	m.015h31
m.06vxw	people.person.profession	m.06q2q
m.09c7w0	location.location.people_born_here	m.0g57zq
m.09c7w0	location.location.contains	m.048xdns
m.011qzrj9	people.person.profession	m.0lgw7
m.0bffcwt	people.person.nationality	m.03rjj
m.06mxs	location.location.people_born_here	m.04lg62v
m.05y3405	common.topic.notable_types	m.01xryvt
m.0msgl	location.location.containedby	m.07b_l
m.0f2v0	location.citytown.postal_codes	m.03dp4h2
m.05p9skn	location.location.time_zones	m.03bdv
g.120htkj8	people.person.nationality	m.03rjj
m.0dxz9g	people.person.profession	m.02hrh1q
m.0h96_ry	people.person.nationality	m.07ssc
m.01kd7n_	people.person.profession	m.0hpcdn2
m.010kt14k	music.track_contribution.role	m.026t6
m.02sjp	film.music_contributor.film	m.02v8kmz
m.06_x03m	people.person.profession	m.0196pc
m.05qfvsy	people.person.profession	m.02hrh1q
m.0d9s49	common.topic.notable_types	m.01xryvt
m.04jpl	location.location.people_born_here	m.0gz61b
m.01hmnh	media_common.netflix_genre.titles	m.0bwfwpj
m.0g5k300	people.person.profession	m.02hrh1q
m.080lsxv	people.person.nationality	m.059j2
m.0nb92ht	sports.sports_team_roster.team	m.03zkr8
m.0jmr3	people.person.nationality	m.0f8l9c
m.0nvfd	location.location.contains	m.04909q3
m.05kr_	location.location.contains	m.0gmdgpj
g.11r7rkd_w	people.person.profession	m.02hrh1q
m.0bbss1	location.location.containedby	m.0rh6k
m.0c0brv	location.location.containedby	m.07ssc
m.01n6h1p	music.artist.genre	m.02lkt
m.07bnwg	people.person.nationality	m.0jgd
m.0gc9qyr	people.person.profession	m.01d_h8
m.02qs8q6	people.person.profession	m.02h6nn_
m.021nlp	people.person.profession	m.04gc2
m.0485t2b	location.location.containedby	m.0gyh
m.0279yt6	people.person.place_of_birth	m.04jpl
m.0846v	location.location.contains	m.011ft3
m.0tr0g9h	music.track_contribution.role	m.026t6
m.0jqygvt	people.person.profession	m.02hrh1q
m.084w8	influence.influence_node.influenced	m.01vdrw
m.0chgr2	location.location.contains	m.02cys_
m.0_r7zkm	music.group_membership.role	m.0_sv_90
m.06mkj	media_common.netflix_genre.titles	m.0crxtqh
m.0824r	location.location.contains	m.04c5_zw
m.012zv0_s	film.film.country	m.09c7w0
m.09gpr4x	common.topic.notable_types	m.01xryvt
m.0bv_l3g	people.person.profession	m.0np9r
m.05qtj	location.location.people_born_here	m.02mbk
m.0jxn6hr	people.person.profession	m.02jknp
m.01tspcn	people.person.nationality	m.03rt9
g.121q4gps	people.person.profession	m.02hrh1q
m.0vy4nq9	music.track_contribution.role	m.0290ngj
m.07t3hf	music.artist.genre	m.016clz
m.04bt8rd	location.location.containedby	m.07h34
m.0277rkf	people.person.profession	m.01d_h8
m.027kt1k	people.person.profession	m.0fj9f
m.0n9fxdq	people.person.profession	m.01d_h8
m.05bv5s_	sports.sports_league_draft_pick.team	m.04vn5
m.0dnz1_d	music.track_contribution.role	m.0342h
m.03c9ftg	people.person.profession	m.0dxtg
m.042ldl	people.deceased_person.place_of_burial	m.0156q
m.0ly22md	people.person.profession	m.03gjzk
m.02hsh2	people.deceased_person.cause_of_death	m.02wgfrh
m.0k6nt	location.location.contains	m.05_5qp2
m.0584rgg	people.person.nationality	m.0345h
m.02rl4gt	people.person.profession	m.0fj9f
m.09r_r5s	location.mailing_address.country	m.09c7w0
m.0h_3vrd	people.person.profession	m.02hrh1q
m.02rr84q	people.person.profession	m.0nbcg
m.09c7w0	location.location.contains	m.05gvhr
m.04ldg6	people.person.nationality	m.0f8l9c
m.027jkh0	location.location.containedby	m.0f04v
m.023px7	people.person.profession	m.0cbd2
m.03hkp	media_common.netflix_genre.titles	m.05syrqg
m.06pf048	baseball.batting_statistics.team	m.0512p
m.0bb27l5	people.person.nationality	m.09c7w0
m.0r0ls	location.location.people_born_here	m.056dwmw
m.03yp0j	people.person.profession	m.0d8qb
m.0hlsk48	people.person.nationality	m.0d05w3
m.0ds27b	film.film.country	m.09c7w0
m.01n7q	location.location.contains	m.0r5kx
m.0fq6f87	people.person.nationality	m.0d0vqn
m.06s5rvf	baseball.batting_statistics.season	m.025ygqm
m.0rsrtdh	music.track_contribution.role	m.0290ngj
m.0spwy47	music.track_contribution.role	m.0290ngj
m.0qzczl7	olympics.olympic_athlete_affiliation.country	m.0345h
m.0403v_h	people.person.place_of_birth	m.01zrs_
m.0ywm9cx	film.film.genre	m.02822
m.0bbvkq1	people.person.profession	m.0dxtg
m.0wf1x1b	people.person.profession	m.0dz3r
m.0crsq6c	film.film.country	m.09c7w0
m.0d05w3	location.location.contains	m.03pzcg
m.02qbd_2	location.location.containedby	m.09c7w0
m.05bnq92	people.person.profession	m.03gjzk
m.0gds2kw	people.person.profession	m.01d_h8
m.0fcm0_	music.group_member.instruments_played	m.018vs
m.05t303	people.person.profession	m.0cbd2
m.0zmy5wj	people.deceased_person.place_of_death	m.0156q
m.04vg8	location.location.people_born_here	m.0ryclfz
m.0f0sdg	people.person.profession	m.0dxtg
m.0gwfdp	people.person.nationality	m.09c7w0
m.0j2mdjh	base.schemastaging.athlete_salary.team	m.05l71
m.04g2lyh	music.artist.genre	m.01243b
m.0nj_28s	music.track_contribution.role	m.0290ngj
m.03h1486	influence.influence_node.influenced_by	m.07c37
m.09g6f4y	music.artist.genre	m.02lnbg
m.01znc_	location.location.people_born_here	m.011x20l_
m.010nds15	music.track_contribution.role	m.0290ngj
m.04809xv	location.location.containedby	m.0hjy
m.0rd_sqf	people.person.place_of_birth	m.06qd3
m.0wjx7cf	people.person.place_of_birth	m.02b84b
m.05bm3j	people.person.profession	m.06q2q
m.01vkwwh	music.artist.origin	m.0m75g
m.0113296h	people.person.profession	m.05hj__k
m.02qh2r6	people.person.profession	m.02jknp
m.06sdl03	baseball.batting_statistics.season	m.02h7s81
m.010xfb1z	people.person.nationality	m.0chghy
m.09c7w0	location.location.contains	m.04936lj
m.05x_vl3	people.person.place_of_birth	m.04jpl
m.0jpknj0	people.person.profession	m.05z96
m.06qz_fb	baseball.batting_statistics.team	m.051vz
m.09s9x4t	location.mailing_address.country	m.09c7w0
m.04br35g	location.location.containedby	m.06yxd
m.01q7cb_	film.actor.film	m.0cg7757
m.04p6_v4	people.person.profession	m.01d_h8
m.0br_m4s	american_football.football_player.position_s	m.02g_7z
m.09jpvh	people.person.profession	m.0cbd2
m.0gcxwzq	people.person.profession	m.0dxtg
g.122f6zk8	people.deceased_person.cause_of_death	m.0qcr0
m.0496k1	people.person.profession	m.0cbd2
m.0gcz72j	people.person.profession	m.02jknp
m.04bltl9	location.location.time_zones	m.02hcv8
m.07ssc	location.location.contains	m.06l3xk
m.049l05	music.group_member.instruments_played	m.03qjg
m.04j1gc	common.topic.notable_types	m.01xryvt
m.0_hv9nm	music.composition.composer	m.03bxh
m.0128r10j	music.track_contribution.role	m.05148p4
g.12323r2zq	people.person.profession	m.0dxtg
m.042w4c	people.person.nationality	m.06q1r
m.0h7l66w	people.person.profession	m.0cbd2
m.08n_z_2	film.film.country	m.09c7w0
m.0235jd	people.person.religion	m.0c8wxp
m.0cf533	location.location.containedby	m.09c7w0
m.050ks	location.location.contains	m.049zjwx
m.01g2g1	aviation.aircraft_manufacturer.aircraft_models_made	m.02l7dc
m.0_r8bdr	location.mailing_address.state_province_region	m.05fly
m.0k59g4	people.person.profession	m.01d_h8
m.04yfvy	people.deceased_person.cause_of_death	m.01l2m3
m.0cv5bp5	location.location.containedby	m.0b_yz
m.09s4n2h	location.mailing_address.state_province_region	m.01n7q
m.0hh9z4g	people.person.profession	m.0c5lg
m.0978r	location.location.contains	m.0d7t6f
m.0byf9j	location.location.containedby	m.05cgv
m.01k4f	location.location.people_born_here	m.07v3tqy
m.0dmny3k	people.person.profession	m.09l65
m.027m_r1	film.film.genre	m.02822
m.09sgfqt	location.mailing_address.state_province_region	m.07z1m
m.0480fk5	location.location.containedby	m.09c7w0
m.04swd	location.location.people_born_here	m.0nb7z8w
m.011tzbwy	location.mailing_address.citytown	m.0qpjt
m.07k9wbb	people.person.nationality	m.0d060g
m.01k1jzx	people.person.place_of_birth	m.0cv3w
m.07ssc	location.location.contains	m.0c32ty
m.048y8j7	location.location.containedby	m.03s0w
m.0z_rp0v	people.person.profession	m.01d_h8
m.0h34sl3	people.person.profession	m.02hrh1q
m.05qhw	location.location.people_born_here	m.05x2fgh
m.02pszff	people.person.profession	m.09l65
m.0j6t4s5	people.person.nationality	m.02jx1
m.0kdtl7r	people.person.profession	m.0dxtg
m.01x0nps	music.artist.genre	m.03_d0
m.0178g	business.business_operation.industry	m.03qb4kb
m.0rrf9qg	music.track_contribution.role	m.0290ngj
m.0270vt6	people.person.nationality	m.09c7w0
m.07ssc	location.location.contains	m.04cvfrm
m.047q5jd	location.location.containedby	m.04rrd
m.0gdld6y	people.person.nationality	m.07f1x
m.04bdnx2	location.location.containedby	m.09c7w0
m.0j68qdl	people.person.profession	m.02hrh1q
m.02600yf	people.person.nationality	m.02k54
m.051xzxh	film.film.genre	m.02822
m.05fkf	location.location.contains	m.04b5dw3
m.05cfwx	people.person.profession	m.0nbcg
m.0b7c2rj	people.person.profession	m.0dxtg
m.0by417r	people.person.nationality	m.012m_
m.0cq22hc	media_common.netflix_genre.titles	m.07l5v6
m.0837hm	military.military_person.participated_in_conflicts	m.0cmc2
m.01012zsh	location.mailing_address.country	m.09c7w0
m.05qtj	location.location.people_born_here	m.02wnv4
m.0vbk	location.location.contains	m.0487094
m.0117fs4b	music.track_contribution.role	m.0290ngj
m.0d9_mw	people.person.place_of_birth	m.04f_d
m.05c4_22	film.film.genre	m.02822
m.0d90mt	common.topic.notable_types	m.01xryvt
m.0481l20	location.location.time_zones	m.02fqwt
m.0kd1j7l	olympics.olympic_athlete_affiliation.country	m.06qd3
m.01twdk	film.director.film	m.029qpk
m.010nhjjb	music.track_contribution.role	m.0342h
m.06kmr_	people.person.profession	m.05z96
m.043vc	sports.sports_team.roster	m.0xnv1r7
m.01wdw2m	music.artist.genre	m.064t9
m.0x440	location.location.containedby	m.09c7w0
m.0dbw77	music.artist.genre	m.01fsz
m.0jwtd3	film.director.film	m.0d9lb0
m.03cxm60	people.person.profession	m.0fj9f
m.04g2f35	people.person.nationality	m.09c7w0
m.0c1slgk	government.political_party_tenure.politician	m.07jjx6
m.04m_cln	people.person.profession	m.05t4q
m.06p9m_b	baseball.batting_statistics.team	m.06x68
m.02rrbwd	people.person.nationality	m.09c7w0
m.0w2vc5r	sports.sports_team_roster.position	m.01pv51
m.04vyf2	common.topic.notable_types	m.02h76fz
m.0dhpm7p	location.mailing_address.citytown	m.0cv3w
m.09c7w0	location.location.contains	m.010pgm
m.05nnm69	music.group_membership.role	m.05r5c
